monster_id,passive_id,value_1,value_2,condition_1
abyssaldrake,captureBoon,15,,
aetherpanther,spireDominance,50,,
armored-dracospike,riftGuard,30,,
avalanchewyrm,bossSlayer,40,,
berrybun,mentorSpirit,25,,
berrybun,captureBoon,10,,
burrowbun,fortuneSpirit,30,,
capshark,bossResistance,25,,
celestide,riftDominance,50,,
crabblaze,hardCarapace,30,30,
crystalfae,riftGuard,30,,
crystalwing,dungeonGuard,35,,
divineclaw,sacredBeetle,35,,
djinn-lampyr,lastBlessing,80,,
doomgator,trialPower,50,,
dumplorer,captureBoon,45,,
dumplorer,potentialSeeker,20,,
fanglo,captureBoon,5,,
frostiel,spireGuard,30,,
glacigator,spireDominance,50,,
gravion,bossResistance,25,,
hornrexie,spireDominance,50,,
hydrolope,riftGuard,30,,
iceplate,riftDominance,50,,
jokaire,captureBoon,15,,
lumen-knight,dungeonGuard,30,,
magma-tortoise,spireGuard,30,,
magmorus,spireGuard,30,,
marigon,marigonFortuneSpirit,20,50,
mechavolt,bossSlayer,40,,
mentawolf,dungeonGuard,30,,
meowl,mentorSpirit,25,,
meowl,fortuneSpirit,25,,
meowl,captureBoon,25,,
mintgloom,fortuneSpirit,30,,
motovok,criticalChance,30,,
necro-hydra-tortelloni,dragonsCurse,15,,
necro-hydra-tortelloni,trialPower,50,,
netherdemon,bossResistance,25,,
nightveil,trialPower,50,,
pandleaf,mentorSpirit,20,,
poseidine,riftDominance,50,,
pricko,fortuneSpirit,20,,
psyber,spireDominance,50,,
psyberion-x,spireGuard,35,,
runegolem,criticalDamage,60,,
solgryph,spireGuard,35,,
solron,riftDominance,50,,
soulguard,spireDominance,50,,
steamforge,bossResistance,25,,
stormhorn,trialPower,50,,
sylvaris,mutationCatalyst,20,,
thunderjet,captureBoon,10,,
toucan-birdman,bossSlayer,40,,
umbra-reaver,trialPower,50,,
violetaegis,vitalSurge,60,,80
void-dustwing,mentorSpirit,35,,
void-iceplate,captureBoon,25,,
void-nightveil,trialPower,60,,
void-noctane,fortuneSpirit,35,,
void-scareaper,captureBoon,25,,
void-strum-bones,mentorSpirit,35,,
void-strum-bones,fortuneSpirit,35,,
voltagator,spireDominance,50,,
vorturion,riftGuard,30,,
woolhorn,fortuneSpirit,25,,
