monster_id,skill_id,skill_slot,skill_element
dummee,air-bullet,1,common
leafet,seed-grenade,1,grass
wattoad,water-jet,1,water
treemo,seed-grenade,1,grass
flamix,fireball,1,fire
flamix,air-bullet,2,common
puffu,water-jet,1,water
puffu,wind-disc,2,common
candlechick,air-bullet,1,common
candlechick,fireball,2,fire
santadumi,air-bullet,1,common
santadumi,candy-bomb,2,common
santacub,fireball,1,fire
santacub,gift-delivery,2,common
pricko,petal-dance,1,grass
pricko,root-spike,2,grass
aquron,water-cannon,1,water
aquron,water-jet,2,water
skedeer,air-bullet,1,common
skedeer,wind-disc,2,common
woodliz,grass-tornado,1,grass
woodliz,leaf-surge,2,grass
candlehawk,fire-tornado,1,fire
candlehawk,fireball,2,fire
zybit,ex-air-bullet,1,common
zybit,wind-disc,2,common
flarecub,wind-disc,1,common
flarecub,fire-tornado,2,fire
blazelord,fireball,1,fire
blazelord,fire-dash,2,fire
icevolf,iceball,1,ice
icevolf,wind-disc,2,common
frostoise,ex-water-jet,1,water
frostoise,claw-attack,2,common
fluffairy,ex-air-bullet,1,common
fluffairy,wind-disc,2,common
santafairy,gift-delivery,1,common
santafairy,candy-bomb,2,common
dreamtane,ex-air-bullet,1,common
dreamtane,wind-disc,2,common
dollfey,toxic-grenade,1,grass
dollfey,wind-disc,2,common
stonebara,rock-toss,1,ground
stonebara,gravel-scatter-shot,2,ground
pangard,ex-air-bullet,1,common
pangard,fireball,2,fire
pandleaf,grass-tornado,1,grass
pandleaf,galecut,2,grass
ringduck,tidal-conch,1,water
ringduck,wind-disc,2,common
shorefur,water-shuriken,1,water
shorefur,tidal-conch,2,water
sproutfox,toxic-grenade,1,grass
sproutfox,petal-dance,2,grass
terralion,earth-smash,1,ground
terralion,dash,2,common
noxicrow,wind-disc,1,common
noxicrow,fireball,2,fire
verdysaur,leaf-surge,1,grass
verdysaur,galecut,2,grass
bunshroom,rock-toss,1,ground
bunshroom,wind-disc,2,common
bunleaf,root-spike,1,grass
bunleaf,urgent-aid,2,common
leafmage,ex-seed-grenade,1,grass
leafmage,galecut,2,grass
boinglick,soul-reap-chain,1,common
boinglick,ex-water-jet,2,water
wickloom,fireball-ghost,1,fire
wickloom,wind-disc-purple,2,common
glowraith,frosty-dart,1,ice
glowraith,soul-reap-chain,2,common
spiralin,tidal-conch,1,water
spiralin,ex-water-jet,2,water
snoozeble,hydro-cannon,1,water
snoozeble,water-shuriken,2,water
bubbloo,ripple-guard,1,common
bubbloo,ex-water-jet,2,water
terratort,earth-smash,1,ground
terratort,rock-road,2,ground
santavolf,ex-candy-bomb,1,common
santavolf,iceball,2,ice
pyrowulf,fire-tornado,1,fire
pyrowulf,fire-dash,2,fire
noctane,air-bullet,1,common
noctane,wind-disc,2,common
ywendihoofs,ice-surge,1,ice
ywendihoofs,claw-attack,2,common
starshade,ice-road,1,ice
starshade,ex-iceball,2,ice
sproutusk,ex-seed-grenade,1,grass
sproutusk,ex-air-bullet,2,common
nightclaw,toxic-grenade,1,grass
nightclaw,ex-air-bullet,2,common
floradelle,solar-beam,1,grass
floradelle,petal-dance,2,grass
hydribbit,water-shuriken,1,water
hydribbit,water-jet,2,water
knockroo,fire-dash,1,fire
knockroo,fireball,2,fire
volcamel,fireball,1,fire
volcamel,rallying-war-cry-3-sec-50,2,fire
mistvolf,water-jet,1,water
mistvolf,ripple-guard,2,common
flamevolf,fireball,1,fire
flamevolf,rallying-war-cry-6-sec-50,2,fire
floravolf,seed-grenade,1,grass
floravolf,healing-pulse,2,grass
aurobull,dash,1,common
aurobull,ex-air-bullet,2,common
king-penguin,ex-water-jet,1,water
king-penguin,wind-disc,2,common
fanglo,dash,1,common
fanglo,fire-tornado,2,fire
weaslpash,tsunami,1,water
weaslpash,water-shuriken,2,water
walrusk,ice-road,1,ice
walrusk,ex-water-shuriken,2,water
deerleaf,wind-disc,1,common
deerleaf,leaf-surge,2,grass
mintwolf,root-spike,1,grass
mintwolf,grass-tornado,2,grass
nivisgon,ex-water-jet,1,water
nivisgon,ice-road,2,ice
tricerasteel,earth-smash,1,ground
tricerasteel,gravel-scatter-shot,2,ground
cloveria,grass-tornado,1,grass
cloveria,ex-seed-grenade,2,grass
shadecloak,barrier,1,common
shadecloak,soul-reap-chain,2,common
emberwolf,rallying-war-cry-6-sec-50,1,fire
emberwolf,fire-tornado,2,fire
jackpotron,egg-blast,1,common
jackpotron,egg-blast,2,common
sleetwolf,ripple-guard,1,common
sleetwolf,tsunami,2,water
rexie,rock-road,1,ground
rexie,gravel-whirlwind,2,ground
stumpfox,grass-tornado,1,grass
stumpfox,galecut,2,grass
strum-bones,demonic-lullaby,1,common
strum-bones,healing-pulse,2,grass
bone-guard,taunt,1,common
bone-guard,ghost-impact,2,common
meowl,ex-air-bullet,1,common
snoozepink,vortex-nova,1,water
snoozepink,water-shuriken,2,water
froxy,glacial-wall,1,ice
froxy,ice-road,2,ice
flaragon,claw-attack,1,common
flaragon,ex-fireball,2,fire
glazadon,frost-breath,1,ice
glazadon,ice-surge,2,ice
mountusk,ex-seed-grenade,1,grass
mountusk,healing-pulse,2,grass
frostbun,ex-iceball,1,ice
frostbun,ice-road,2,ice
flarecrest,inferno-maelstrom,1,fire
flarecrest,ex-fireball,2,fire
aquilune,ice-surge,1,ice
aquilune,ex-iceball,2,ice
frost-floradelle,solar-beam,1,grass
