monster_id,source_type,source_name,location,condition,status,notes
dummee,First-Time Reward,First-Time Player Reward,Starter Island,,Current,
dummee,Egg,Swamp Egg,Starter Island,,Current,
leafet,Island Spawn,Natural Spawn,Starter Island,,Current,
wattoad,Island Spawn,Natural Spawn,Starter Island,,Current,
treemo,Island Spawn,Natural Spawn,Starter Island,,Current,
flamix,Island Spawn,Natural Spawn,Starter Island,,Current,
puffu,Island Spawn,Natural Spawn,Starter Island,,Current,
candlechick,Event,Turkey Egg,Thanksgiving Event 2025,,Legacy,
candlechick,Chest,Memory Chest 1,Abyss Shop,,Current,
santadumi,Event,Christmas Event Summon,Christmas Event 2025,,Unavailable,
santadumi,Chest,Memory Chest 1,Abyss Shop,,Current,
santacub,Event,Christmas Event Summon,Christmas Event 2025,,Unavailable,
santacub,Chest,Memory Chest 1,Abyss Shop,,Current,
pricko,Rift,Volcano Rift 1,Volcano,,Current,
pricko,Rift,Frost Isle Rift 1,Frost Isle,,Current,
pricko,Rift,Duneveil Isle Rift 1,Duneveil Isle,,Current,
pricko,Rift,Neverland Rift 1,Neverland,,Current,
pricko,Rift,Volcano Rift 2,Volcano,,Current,
pricko,Rift,Frost Isle Rift 2,Frost Isle,,Current,
pricko,Rift,Duneveil Isle Rift 2,Duneveil Isle,,Current,
pricko,Rift,Neverland Rift 2,Neverland,,Current,
aquron,Island Spawn,Natural Spawn,Starter Island,,Current,
skedeer,Island Spawn,Natural Spawn,Volcano,,Current,
woodliz,Island Spawn,Natural Spawn,Volcano,,Current,
candlehawk,Event,Turkey Egg,Thanksgiving Event 2025,,Legacy,
candlehawk,Chest,Memory Chest,Abyss Shop,,Current,
zybit,Event,Abuse Egg,Abuse Event 2025,,Legacy,
zybit,Chest,Memory Chest 2,Abyss Shop,,Current,
flarecub,Island Spawn,Natural Spawn,Volcano,,Current,
blazelord,Island Spawn,Natural Spawn,Volcano,,Current,
icevolf,Island Spawn,Natural Spawn,Frost Isle,,Current,
frostoise,Island Spawn,Natural Spawn,Frost Isle,,Current,
fluffairy,Island Spawn,Natural Spawn,Frost Isle,,Current,
santafairy,Chest,Memory Chest 1,Abyss Shop,,Current,
santafairy,Chest,Christmas Event Summon,Christmas Event 2025,,Unavailable,
dreamtane,Island Spawn,Natural Spawn,Neverland,,Current,
dollfey,Island Spawn,Natural Spawn,Neverland,,Current,
