Monster,Rarity,Element,Damage,Health,Crit Chance,Evolution Source,Growth Type,Skill 1,Skill 2,Skill 3,Passives,Sources,Index (Position)
Dummee,Common,Common,8,53,0,,Dummee,Air Bullet,,,,"First-Time Reward | First-Time Player Reward | Starter Island | Current
Egg | Swamp Egg | Starter Island | Current",1
Leafet,Common,Grass,7.25,43.5,0,,Standard,Seed Grenade,,,,Island Spawn | Natural Spawn | Starter Island | Current,2
Wattoad,Uncommon,Water,10.5,63.1,0,,Standard,Water Jet,,,,Island Spawn | Natural Spawn | Starter Island | Current,3
Treemo,Rare,Grass,15.2,163.1,0,,Standard,Seed Grenade,,,,Island Spawn | Natural Spawn | Starter Island | Current,4
Flamix,Rare,Fire,22.1,236.5,0,,Standard,Fireball,Air Bullet,,,Island Spawn | Natural Spawn | Starter Island | Current,5
Puffu,Rare,Water,32,342.9,0,,Standard,Water Jet,Wind Disc,,,Island Spawn | Natural Spawn | Starter Island | Current,6
Candlechick,Rare,Fire,38.6,412.7,0,,Standard,Air Bullet,Fireball,,,"Event | Turkey Egg | Thanksgiving Event 2025 | Legacy
Chest | Memory Chest 2 | Abyss Shop | Current",7
SantaDumi,Rare,Common,97.7,1040,0,,Standard,Air Bullet,Candy Bomb,,,"Event | Christmas Event Summon | Christmas Event 2025 | Unavailable
Chest | Memory Chest 1 | Abyss Shop | Current",8
Santacub,Rare,Common,205.39,2197.8,0,,Standard,Fireball,Gift Delivery,,,"Event | Christmas Event Summon | Christmas Event 2025 | Unavailable
Chest | Memory Chest 1 | Abyss Shop | Current",9
Pricko,Rare,Grass,1915,29518,10,,Standard,Petal Dance,Root Spike,,Fortune Spirit | 20,Chest | Rift Chest | Abyss Shop | Current,10
Aquron,Epic,Water,46.5,497.2,0,,Standard,Water Cannon,Water Jet,,,Island Spawn | Natural Spawn | Starter Island | Current,11
Skedeer,Epic,Common,67.4,721,0,,Standard,Air Bullet,Wind Disc,,,Island Spawn | Natural Spawn | Volcano | Current,12
Woodliz,Epic,Grass,97.7,1040,0,,Standard,Grass Tornado,Leaf Surge,,,Island Spawn | Natural Spawn | Volcano | Current,13
Candlehawk,Epic,Fire,170.59,1825,0,,Standard,Fire Tornado,Fireball,,,"Event | Turkey Egg | Thanksgiving Event 2025 | Legacy
Chest | Memory Chest | Abyss Shop | Current",14
Zybit,Epic,Common,117.65,1258.8,0,,Standard,Ex Air Bullet,Wind Disc,,,"Event | Abuse Egg | Abuse Event 2025 | Legacy
Chest | Memory Chest 1 | Abyss Shop | Current",15
Flarecub,Epic,Fire,141.67,1510,0,,Standard,Wind Disc,Fire Tornado,,,Island Spawn | Natural Spawn | Volcano | Current,16
Blazelord,Epic,Fire,205.42,2190,0,,Standard,Fireball,Fire Dash,,,Island Spawn | Natural Spawn | Volcano | Current,17
Icevolf,Epic,Ice,431.9,4620,0,,Standard,Iceball,Wind Disc,,,Island Spawn | Natural Spawn | Frost Isle | Current,18
Frostoise,Epic,Water,626.25,6700,0,,Standard,Ex Water Jet,Claw Attack,,,Island Spawn | Natural Spawn | Frost Isle | Current,19
Fluffairy,Epic,Common,908.07,9710,0,,Standard,Ex Air Bullet,Wind Disc,,,Island Spawn | Natural Spawn | Frost Isle | Current,20
Santafairy,Epic,Common,626.2,6693,0,,Standard,Gift Delivery,Candy Bomb,,,"Chest | Memory Chest 1 | Abyss Shop | Current
Chest | Christmas Event Summon | Christmas Event 2025 | Unavailable",21
Dreamtane,Epic,Common,2768,29620,0,,Standard,Ex Air Bullet,Wind Disc,,,Island Spawn | Natural Spawn | Neverland | Current,22
Dollfey,Epic,Common,4010,42950,0,,Standard,Toxic Grenade,Wind Disc,,,Island Spawn | Natural Spawn | Neverland | Current,23
Stonebara,Epic,Ground,12230,130940,0,,Standard,Rock Toss,Gravel Scatter Shot,,,Island Spawn | Natural Spawn | Duneveil Isle | Current,24
Pangard,Epic,Fire,17736,189870,0,,Standard,Ex Air Bullet,Fireball,,,Island Spawn | Natural Spawn | Duneveil Isle | Current,25
Pandleaf,Epic,Grass,7032,108360,10,,Standard,Grass Tornado,Galecut,,Mentor Spirit | 20,Chest | Rift Chest | Abyss Shop | Current,26
RingDuck,Epic,Water,54090,578830,0,,Standard,Tidal Conch,Wind Disc,,,Island Spawn | Natural Spawn | Tideland | Current,27
Shorefur,Epic,Water,78440,839300,0,,Standard,Water Shuriken,Tidal Conch,,,Island Spawn | Natural Spawn | Tideland | Current,28
Sproutfox,Epic,Grass,136961,1465000,0,,Standard,Toxic Grenade,Petal Dance,,,Island Spawn | Natural Spawn | Spirit Grove | Current,29
Terralion,Epic,Ground,164920,1764000,0,,Standard,Earth Smash,Dash,,,Island Spawn | Natural Spawn | Spirit Grove | Current,30
Noxicrow,Epic,Fire,239130,2558000,0,,Standard,Wind Disc,Fireball,,,Island Spawn | Natural Spawn | Dragon's Breath | Current,31
Verdysaur,Epic,Grass,287950,3080000,0,,Standard,Leaf Surge,Galecut,,,Island Spawn | Natural Spawn | Dragon's Breath | Current,32
Bunshroom,Epic,Ground,417530,4460000,0,,Standard,Rock Toss,Wind Disc,,,Island Spawn | Natural Spawn | Blossom Haven | Current,33
Bunleaf,Epic,Grass,502780,5380000,0,,Standard,Root Spike,Urgent Aid,,,Island Spawn | Natural Spawn | Blossom Haven | Current,34
LeafMage,Epic,Grass,785270,8402200,0,,Standard,Ex Seed Grenade,Galecut,,,Island Spawn | Natural Spawn | Mobius Circus | Current,35
Boinglick,Epic,Water,1018500,10898000,0,,Standard,Soul Reap Chain (Vulnerability),Ex Water Jet,,,Island Spawn | Natural Spawn | Mobius Circus | Current,36
Wickloom,Epic,Fire,1651000,17666000,0,,Standard,Fireball (Ghost),Wind Disc (Purple),,,Island Spawn | Natural Spawn | Specter Shallows | Current,37
Glowraith,Epic,Ice,2222450,23780000,0,,Standard,Frosty Dart,Soul Reap Chain,,,Island Spawn | Natural Spawn | Specter Shallows | Current,38
Spiralin,Epic,Water,3471000,37141000,0,,Standard,Tidal Conch,Ex Water Jet,,,Island Spawn | Natural Spawn | Nova Coast | Current,39
Snoozeble,Epic,Water,4180000,44726000,0,,Standard,Hydro Cannon,Water Shuriken,,,Island Spawn | Natural Spawn | Nova Coast | Current,40
Bubbloo,Epic,Water,5420000,58011000,0,,Standard,Ripple Guard,Ex Water Jet,,,Island Spawn | Natural Spawn | Splash Isle | Current,41
Terratort,Epic,Ground,5840000,62486000,0,,Standard,Earth Smash,Rock Road,,,Island Spawn | Natural Spawn | Splash Isle | Current,42
Mechizza,Epic,Fire,8465000,90606000,0,,Standard,Wind Disc,Wind Disc (Purple),,,Island Spawn | Natural Spawn | Coilwork City | Current,43
Geariff,Epic,Common,9120000,97596000,0,,Standard,Soul Reap Chain,,,,Island Spawn | Natural Spawn | Coilwork City | Current,44
Santavolf,Legendary,Ice,2767,29622,0,,Standard,Ex Candy Bomb,Iceball,,,"Event | Christmas Event Summon | Christmas Event 2025 | Unavailable
Chest | Memory Chest 2 | Abyss Shop | Current",45
Pyrowulf,Legendary,Fire,297.86,3187,0,,Standard,Fire Tornado,Fire Dash,,,Island Spawn | Natural Spawn | Volcano | Current,46
Noctane,Legendary,Common,358.66,3838,0,,Standard,Air Bullet,Wind Disc,,,"Egg | Fire Egg | Volcano | Current
Chest | Mythical Chest | Limited Events | Current",47
YWendihoofs,Legendary,Ice,1316,14088,0,,Standard,Ice Surge,Claw Attack,,,Island Spawn | Natural Spawn | Frost Isle | Current,48
Starshade,Legendary,Ice,2293.1,24594,0,,Standard,Ice Road,Ex Iceball,,,Island Spawn | Natural Spawn | Frost Isle | Current,49
Sproutusk,Legendary,Grass,1909,20426,0,,Standard,Ex Seed Grenade,Ex Air Bullet,,,Island Spawn | Natural Spawn | Frost Isle | Current,50
Nightclaw,Legendary,Common,5821,62278,0,,Standard,Toxic Grenade,Ex Air Bullet,,,Island Spawn | Natural Spawn | Neverland | Current,51
Floradelle,Legendary,Grass,14684,109115,10,,Standard,Solar Beam,Petal Dance,,,"Egg | Blossom Egg | Neverland | Current
Egg | Rosette Egg | Neverland | Current",52
Hydribbit,Legendary,Water,10162,108740,0,,Standard,Water Shuriken,Water Jet,,,Island Spawn | Special Spawn | Neverland | Current,53
Knockroo,Legendary,Fire,25727,275300,0,,Standard,Fire Dash,Fireball,,,Island Spawn | Natural Spawn | Duneveil Isle | Current,54
Volcamel,Legendary,Fire,53904,400574,0,,Standard,Fireball,Rallying War Cry (3 sec 50%),,,"Egg | Sand Egg | Duneveil Isle | Current
Chest | Mythical Chest | Limited Events | Current",55
Mistvolf,Legendary,Water,14777,227835,0,Icevolf,Standard,Water Jet,Ripple Guard,,,Evolution | Icevolf Evolution |  | Current |  | Evolves from Icevolf.,56
Flamevolf,Legendary,Fire,21292,158220,0,Icevolf,Standard,Fireball,Rallying War Cry (6 sec 50%),,,Evolution | Icevolf Evolution |  | Current |  | Evolves from Icevolf.,57
Floravolf,Legendary,Grass,17743,189863,0,Icevolf,Standard,Seed Grenade,Healing Pulse,,,Evolution | Icevolf Evolution |  | Current |  | Evolves from Icevolf.,58
Aurobull,Legendary,Common,37306,399190,0,,Standard,Dash,Ex Air Bullet,,,"Island Spawn | Natural Spawn | Duneveil Isle | Current
Chest | Mythical Chest | Limited Events | Current",59
King Penguin,Legendary,Water,626,6700,0,,Standard,Ex Water Jet,Wind Disc,,,Island Special Spawn | Special Spawn | Starter Island | Current,60
Fanglo,Legendary,Fire,21441,330370,0,,Standard,Dash,Fire Tornado,,Capturer's Boon | 5,Chest | Rift Chest | Abyss Shop | Current,61
Weasplash,Legendary,Water,113736,1216900,0,,Standard,Tsunami,Water Shuriken,,,Island Spawn | Natural Spawn | Tideland | Current,62
Walrusk,Legendary,Water,138693,1465400,0,,Standard,Ice Road,Ex Water Shuriken,,,Island Special Spawn | Special Spawn | Tideland | Current,63
Deerleaf,Legendary,Grass,198590,2124900,0,,Standard,Wind Disc,Leaf Surge,,,Island Spawn | Natural Spawn | Spirit Grove | Current,64
Mintwolf,Legendary,Grass,287955,3081100,10,,Standard,Root Spike,Grass Tornado,,,"Egg | Giant Tree Egg | Spirit Grove | Current
Chest | Mythical Chest | Limited Events | Current",65
Nivisgon,Legendary,Water,346740,3710100,0,,Standard,Ex Water Jet,Ice Road,,,Island Spawn | Natural Spawn | Dragon's Breath | Current,66
